node,year,capacity_lower_limit
BA,2025,0.0
LT,2025,0.0
UK,2025,0.0
DK,2025,0.0
HR,2025,0.0
FR,2025,0.0
SE,2025,0.0
ES,2025,0.0
TR,2025,0.0
AT,2025,0.0
DE,2025,0.0
BG,2025,0.0
FI,2025,0.0
MD,2025,0.0
IE,2025,0.0
NO,2025,0.0
CH,2025,0.0
ME,2025,0.0
PL,2025,0.0
HU,2025,0.0
RS,2025,0.0
LU,2025,0.0
CZ,2025,0.0
AL,2025,0.0
MT,2025,0.0
EE,2025,0.0
EL,2025,0.0
IT,2025,0.0
RO,2025,0.0
CY,2025,0.0
UA,2025,0.0
SK,2025,0.0
SI,2025,0.0
LV,2025,0.0
MK,2025,0.0
PT,2025,0.0
NL,2025,0.0
IS,2025,0.0
BE,2025,0.0
AL,2030,1.4222207999999998
AT,2030,1.9509903
BA,2030,1.3341999999999998
BE,2030,0.0
BG,2030,0.8969099999999999
CY,2030,0.0
CZ,2030,0.362278
DE,2030,0.5732999999999999
DK,2030,0.0
EE,2030,0.0
EL,2030,1.92059
ES,2030,7.989933000000001
FI,2030,2.2656256
FR,2030,7.0203
HR,2030,1.3636629999999998
HU,2030,0.0
IE,2030,0.0
IT,2030,6.1578951
LT,2030,0.0
LU,2030,0.0
LV,2030,0.0
ME,2030,0.74088
MK,2030,0.51002
MT,2030,0.0
NL,2030,0.0
NO,2030,19.3549601
PL,2030,0.299236
PT,2030,2.63585
RO,2030,1.7932977999999995
RS,2030,0.3039889999999999
SE,2030,10.93204
SI,2030,0.0149799999999999
SK,2030,0.014896
UK,2030,0.0
