node,year,capacity_limit
AL,2030,1.0
AT,2030,0.08808540000000001
BA,2030,1.0
BE,2030,0.7726654
BG,2030,2.08
CY,2030,1.0
CZ,2030,0.82849
DE,2030,4.16052
DK,2030,0.20800000000000002
EE,2030,1.0
EL,2030,7.279999999999999
ES,2030,3.25
FI,2030,1.3
FR,2030,0.611
HR,2030,0.09100000000000001
HU,2030,0.49420800000000004
IE,2030,2.9250000000000003
IT,2030,19.38118
LT,2030,1.56
LU,2030,0.0325
LV,2030,0.10400000000000001
ME,2030,1.0
MK,2030,1.0
MT,2030,1.0
NL,2030,12.1303
NO,2030,1.0
PL,2030,1.0
PT,2030,1.0
RO,2030,0.52
RS,2030,1.0
SE,2030,0.3314168
SI,2030,0.78884
SK,2030,0.34580000000000005
UK,2030,20.1585046
