node,total_energy_demand
AT,0.0015803720240864748
BE,0.002086678765365516
BG,9.01294076222018e-05
HR,0.00015427257528815671
CY,3.493236641182736e-05
CZ,0.0003088511426194496
DK,0.0012273676829711426
EE,5.2388258108512835e-05
FI,0.006496670540674239
FR,0.00895929616192515
DE,0.09046908147436633
EL,0.00019038896639159847
HU,0.0002416317939411095
IS,1.9780564163816965e-05
IE,0.0009405628392052159
IT,0.46671998318025926
LV,4.67758673788309e-05
LI,9.855975573715707e-06
LT,8.687269279593705e-05
LU,0.0006625030885911941
MT,0.00034639400616077006
NL,0.009381161417019213
NO,0.00010690215006315365
PL,0.0007824774845162479
PT,0.009362303576071596
RO,0.00023927797135563084
SK,0.00016279319555815346
SI,0.03039921942925674
ES,0.341219516425826
SE,0.00029705540258728464
CH,0.0013356807247709853
UK,0.011049306037916545
