year,opex_specific_variable
2025,1.0
2026,0.9872489238639356
2027,0.9744978477278722
2028,0.9617467715918088
2029,0.9489956954557454
2030,0.9362446193196808
2031,0.9284823077723496
2032,0.9207199962250164
2033,0.912957684677684
2034,0.9051953731303528
2035,0.8974330615830218
2036,0.899377527394417
2037,0.901321993205816
2038,0.9032664590172124
2039,0.90521092482861
2040,0.9071553906400076
2041,0.9293738492446229
2042,0.9515923078492344
2043,0.9738107664538496
2044,0.9960292250584634
2045,1.0182476836630774
2046,1.0758566978097834
2047,1.1334657119564906
2048,1.1910747261031966
2049,1.2486837402499016
2050,1.3062927543966087
