year,opex_specific_variable
2025,1.0
2026,0.9992853169107374
2027,0.9985706338214748
2028,0.997855950732212
2029,0.9971412676429496
2030,0.9964265845536868
2031,0.9949189418238428
2032,0.9934112990939988
2033,0.9919036563641548
2034,0.9903960136343108
2035,0.9888883709044668
2036,0.9860389079347914
2037,0.983189444965116
2038,0.9803399819954404
2039,0.977490519025765
2040,0.9746410560560896
2041,0.9703963672996772
2042,0.966151678543265
2043,0.9619069897868529
2044,0.9576623010304404
2045,0.953417612274028
2046,0.9492585514205806
2047,0.945099490567133
2048,0.9409404297136856
2049,0.936781368860238
2050,0.9326223080067906
