node,total_energy_demand
AT,0.007173177886208549
BE,0.012333169165925802
BG,0.018654852481888407
CH,0.006052275776653025
CY,0.008293549839156962
CZ,0.1389201802073523
DE,0.0
DK,0.006941426155347582
EE,0.009984678437749337
EL,0.0332644016446459
ES,0.7735243089855326
FI,0.0
FR,0.04412535519178512
HR,0.029576707260505933
HU,0.14180340094802532
IE,0.005049668368695178
IS,0.0
IT,1.0649460693963946
LI,4.750081763285386e-05
LT,0.015518531525285036
LU,0.0017603611450954539
LV,0.00970233121135293
MT,0.0
NL,0.030439568856003258
NO,0.0
PL,0.48039043582234603
PT,0.0
RO,0.23721270387421922
SE,0.0
SI,0.06912768216462216
SK,0.07735494573848976
UK,0.04472673326587797
