node,year_construction,capacity_existing
AT,2018,0.0007918585060427
AT,2019,0.0015958645550777
AT,2020,0.0011623751556749
CH,2018,0.0010728997415621
CH,2019,0.0021622583525279
CH,2020,0.0015749177341723
DK,2012,0.0042044733827278
DK,2015,0.0657415783312009
DK,2017,0.0291018598790308
DK,2018,0.0142741556388023
DK,2019,0.0379318260014441
DK,2020,0.1677206715709627
FI,2015,0.0009900301436602
FI,2019,0.0006914983096089
HU,2019,0.005735875823311
HU,2020,0.0055380466734934
NO,2005,0.0308776273932168
NO,2007,0.0413768010811178
NO,2009,0.0289850852342787
NO,2012,0.0711713819704213
NO,2013,0.0031337072464705
NO,2016,0.0288463562136433
NO,2017,0.0051707672913426
NO,2020,0.0310111159051753
SE,2012,0.0261665080380982
SE,2013,0.0040154815538449
SE,2014,0.0061340640792242
SE,2016,0.0060901278984253
SE,2019,0.0032460262988763
SE,2020,0.03807872452188
SK,2012,0.0005196446595697
SK,2014,0.0008521350834206
SK,2016,0.0006452489295428
SK,2017,0.0004314333149352
SK,2018,0.0004752827188643
SK,2020,0.0004825027313812
