year,opex_specific_variable
2025,1.0
2026,0.999267888809167
2027,0.998535777618334
2028,0.9978036664275008
2029,0.9970715552366678
2030,0.9963394440458349
2031,0.9947950362784204
2032,0.993250628511006
2033,0.9917062207435916
2034,0.9901618129761772
2035,0.9886174052087628
2036,0.9856984558740078
2037,0.9827795065392528
2038,0.9798605572044976
2039,0.9769416078697428
2040,0.9740226585349878
2041,0.9696744597502944
2042,0.9653262609656008
2043,0.9609780621809076
2044,0.956629863396214
2045,0.9522816646115206
2046,0.9480211818326344
2047,0.9437606990537484
2048,0.939500216274862
2049,0.935239733495976
2050,0.9309792507170898
