year,opex_specific_variable
2025,1.0
2026,0.9919612040476901
2027,0.9839224080953801
2028,0.97588361214307
2029,0.96784481619076
2030,0.9598060202384501
2031,0.9548709522539468
2032,0.9499358842694436
2033,0.9450008162849405
2034,0.9400657483004371
2035,0.9351306803159339
2036,0.930240194856778
2037,0.9253497093976218
2038,0.9204592239384659
2039,0.9155687384793099
2040,0.9106782530201538
2041,0.9073777759782075
2042,0.9040772989362612
2043,0.9007768218943146
2044,0.8974763448523683
2045,0.8941758678104219
2046,0.8911498183335463
2047,0.8881237688566708
2048,0.8850977193797951
2049,0.8820716699029195
2050,0.879045620426044
