year,opex_specific_fixed
2025,52.19227543317783
2026,51.731126374292906
2027,51.26997731540799
2028,50.80882825652306
2029,50.34767919763814
2030,49.88653013875322
2031,49.62636676967823
2032,49.366203400603226
2033,49.10604003152823
2034,48.84587666245323
2035,48.58571329337824
2036,48.26231293007992
2037,47.93891256678161
2038,47.615512203483306
2039,47.292111840184994
2040,46.96871147688668
2041,46.60022260064691
2042,46.231733724407135
2043,45.86324484816736
2044,45.49475597192758
2045,45.12626709568781
2046,44.761813671473874
2047,44.39736024725994
2048,44.032906823046
2049,43.668453398832064
2050,43.30399997461813
