year,opex_specific_variable
2025,1.0
2026,0.9999915188184272
2027,0.999983037636854
2028,0.9999745564552814
2029,0.9999660752737084
2030,0.9999575940921354
2031,0.999943403459972
2032,0.9999292128278084
2033,0.9999150221956448
2034,0.9999008315634814
2035,0.999886640931318
2036,0.9998621205234896
2037,0.9998376001156614
2038,0.9998130797078332
2039,0.9997885593000052
2040,0.9997640388921768
2041,0.9997206081859016
2042,0.9996771774796264
2043,0.9996337467733512
2044,0.9995903160670762
2045,0.9995468853608008
2046,0.9994691310894582
2047,0.9993913768181154
2048,0.9993136225467728
2049,0.9992358682754302
2050,0.9991581140040876
